TCGA-06-0675-11A-32R-A36H-07	TCGA-06-0678-11A-32R-A36H-07	TCGA-06-AABW-11A-31R-A36H-07	TCGA-06-0680-11A-32R-A36H-07	TCGA-06-0681-11A-41R-A36H-07
C19orf59	0	1	1	0	0
C19orf69	0	2	0	0	0
C19orf77	109	16	29	74	32
C1QA	3461	1577	2114	1057	1657
C1QB	4855	2946	3377	1507	2174
C1QC	4777	2291	2707	1568	2057
C1QL1	942	1292	1001	850	1027
C1QL2	601	1451	422	471	734
C1QL3	3394	4160	607	3503	1705
C1QL4	13	59	209	12	13
C1QTNF1	529	284	493	330	312
C1QTNF4	1631	1268	532	1662	2930
C1QTNF6	70	77	356	105	112
C1QTNF8	0	2	8	1	1
C1RL	516	423	281	356	258
C1R	2039	1805	1097	1438	1059
C1S	2674	2233	1434	1985	1534
C1orf106	108	93	112	132	147
C1orf111	1	1	1	0	1
C1orf112	58	52	205	81	68
C1orf115	11079	7058	1735	10949	10949
C1orf125	0	0	0	1	0
C1orf127	1	0	2	4	0
C1orf128	7942	7699	7529	8398	8497
C1orf144	2056	2674	4344	1993	2390
C1orf152	16	27	22	34	9
C1orf158	0	0	0	0	0
C1orf161	4	8	10	3	1
C1orf162	107	109	235	80	103
C1orf168	8	2	12	10	3
C1orf170	1	0	0	0	2
C1orf173	4704	3318	945	5143	4511
C1orf175	266	186	222	491	307
C1orf177	1	0	1	1	0
C1orf192	116	90	58	158	97
C1orf194	40	52	40	23	50
C1orf201	1244	1138	1743	1098	1239
C1orf203	9	60	146	25	25
C1orf204	552	267	393	476	510
C1orf210	0	2	20	0	0
C1orf216	8696	6912	3313	8908	9300
C1orf226	96	199	315	150	115
C1orf227	0	0	3	0	0
C1orf229	27	10	39	21	27
C1orf230	78	112	23	83	74
C1orf53	30	34	54	31	35
C1orf54	132	191	208	108	276
C1orf59	1066	641	689	960	1072
C1orf61	9269	11529	10480	10083	13695
C1orf70	865	569	243	807	942
C1orf88	282	150	203	273	254
C1orf92	0	0	0	0	0
C1orf94	5	23	30	8	14
C1orf95	5438	2927	694	4348	2757
C1orf96	6607	8764	4846	7009	6843
C1orf97	38	33	101	29	36
C20orf103	7292	4073	1252	6218	8703
C20orf106	0	0	0	0	0
C20orf112	2750	3231	4992	2810	2430
C20orf118	15	15	24	13	11
C20orf152	0	1	10	2	0
C20orf195	0	1	0	3	0
C20orf196	134	105	158	135	113
C20orf199	1077	827	1360	1041	900
C20orf26	41	34	30	60	27
C20orf46	357	685	97	372	430
C20orf54	241	160	127	62	94
C20orf72	175	289	717	207	293
C20orf94	17	11	31	32	11
C21orf125	4	8	8	8	5
C21orf131	638	1425	4511	600	1389
C21orf45	173	183	381	149	181
C21orf57	125	133	589	135	210
C21orf58	48	44	168	80	73
C21orf62	78	145	286	65	36
C21orf7	31	69	23	63	122
C21orf82	1	0	6	5	3
C21orf84	0	0	0	0	0
C21orf91	565	1271	8040	642	1429
C22orf15	1	0	0	1	0
C22orf24	46	23	12	26	23
