TCGA-76-4925-01A-01R-1850-01	TCGA-06-0649-01B-01R-1849-01	TCGA-14-1034-01A-01R-1849-01	TCGA-26-5136-01B-01R-1850-01	TCGA-06-5412-01A-01R-1849-01	TCGA-76-4931-01A-01R-1850-01	TCGA-28-5216-01A-01R-1850-01	TCGA-06-2565-01A-01R-1849-01	TCGA-32-1982-01A-01R-1850-01	TCGA-06-0184-01A-01R-1849-01	TCGA-06-0878-01A-01R-1849-01	TCGA-06-0646-01A-01R-1849-01	TCGA-27-1835-01A-01R-1850-01	TCGA-14-1823-01A-01R-1849-01	TCGA-02-2485-01A-01R-1849-01	TCGA-06-0745-01A-01R-1849-01	TCGA-12-3653-01A-01R-1849-01	TCGA-32-2615-01A-01R-1850-01	TCGA-28-5213-01A-01R-1850-01	TCGA-06-0157-01A-01R-1849-01	TCGA-06-5858-01A-01R-1849-01	TCGA-16-0846-01A-01R-1850-01	TCGA-32-2632-01A-01R-1850-01	TCGA-06-0190-01A-01R-1849-01	TCGA-06-2558-01A-01R-1849-01	TCGA-06-0211-01A-01R-1849-01	TCGA-28-5204-01A-01R-1850-01	TCGA-14-0871-01A-01R-1849-01	TCGA-26-5132-01A-01R-1850-01	TCGA-06-2557-01A-01R-1849-01	TCGA-28-5209-01A-01R-1850-01	TCGA-26-5133-01A-01R-1850-01	TCGA-27-2528-01A-01R-1850-01	TCGA-06-0882-01A-01R-1849-01	TCGA-14-0817-01A-01R-1849-01	TCGA-32-5222-01A-01R-1850-01	TCGA-12-0619-01A-01R-1849-01	TCGA-06-2570-01A-01R-1849-01	TCGA-06-0211-01B-01R-1849-01	TCGA-06-0129-01A-01R-1849-01	TCGA-12-3652-01A-01R-1849-01	TCGA-06-2569-01A-01R-1849-01	TCGA-06-5414-01A-01R-1849-01	TCGA-27-1834-01A-01R-1850-01	TCGA-02-0047-01A-01R-1849-01	TCGA-27-1831-01A-01R-1850-01	TCGA-76-4926-01B-01R-1850-01	TCGA-06-0219-01A-01R-1849-01	TCGA-14-0781-01B-01R-1849-01	TCGA-14-0790-01B-01R-1849-01	TCGA-06-0644-01A-02R-1849-01	TCGA-28-5208-01A-01R-1850-01	TCGA-28-5207-01A-01R-1850-01	TCGA-15-1444-01A-02R-1850-01	TCGA-02-0055-01A-01R-1849-01	TCGA-06-0645-01A-01R-1849-01	TCGA-02-2483-01A-01R-1849-01	TCGA-12-5299-01A-02R-1849-01	TCGA-27-1832-01A-01R-1850-01	TCGA-06-5856-01A-01R-1849-01	TCGA-32-4213-01A-01R-1850-01	TCGA-06-5417-01A-01R-1849-01	TCGA-27-2524-01A-01R-1850-01	TCGA-14-1829-01A-01R-1850-01	TCGA-06-0749-01A-01R-1849-01	TCGA-06-5411-01A-01R-1849-01	TCGA-28-1747-01C-01R-1850-01	TCGA-12-1597-01B-01R-1849-01	TCGA-41-4097-01A-01R-1850-01	TCGA-06-0187-01A-01R-1849-01	TCGA-28-2509-01A-01R-1850-01	TCGA-06-5418-01A-01R-1849-01	TCGA-27-2526-01A-01R-1850-01	TCGA-41-2572-01A-01R-1850-01	TCGA-12-5295-01A-01R-1849-01	TCGA-26-5134-01A-01R-1850-01	TCGA-12-0821-01A-01R-1849-01	TCGA-27-2521-01A-01R-1850-01	TCGA-76-4929-01A-01R-1850-01	TCGA-19-4065-01A-01R-2005-01	TCGA-32-1970-01A-01R-1850-01	TCGA-06-0174-01A-01R-1849-01	TCGA-14-0789-01A-01R-1849-01	TCGA-14-0787-01A-01R-1849-01	TCGA-06-0132-01A-02R-1849-01	TCGA-28-5220-01A-01R-1850-01	TCGA-28-2510-01A-01R-1850-01	TCGA-06-5410-01A-01R-1849-01	TCGA-06-2559-01A-01R-1849-01	TCGA-15-0742-01A-01R-1850-01	TCGA-06-0747-01A-01R-1849-01	TCGA-19-1390-01A-01R-1850-01	TCGA-19-2619-01A-01R-1850-01	TCGA-06-0743-01A-01R-1849-01	TCGA-32-2616-01A-01R-1850-01	TCGA-28-2513-01A-01R-1850-01	TCGA-06-2562-01A-01R-1849-01	TCGA-41-2571-01A-01R-1850-01	TCGA-28-1753-01A-01R-1850-01	TCGA-06-0158-01A-01R-1849-01	TCGA-19-2629-01A-01R-1850-01	TCGA-76-4932-01A-01R-1850-01	TCGA-06-2564-01A-01R-1849-01	TCGA-14-2554-01A-01R-1850-01	TCGA-26-1442-01A-01R-1850-01	TCGA-12-0618-01A-01R-1849-01	TCGA-06-0238-01A-02R-1849-01	TCGA-06-5415-01A-01R-1849-01	TCGA-06-0141-01A-01R-1849-01	TCGA-26-5139-01A-01R-1850-01	TCGA-14-1825-01A-01R-1850-01	TCGA-27-1830-01A-01R-1850-01	TCGA-06-5413-01A-01R-1849-01	TCGA-06-0744-01A-01R-1849-01	TCGA-06-2563-01A-01R-1849-01	TCGA-06-0125-01A-01R-1849-01	TCGA-19-5960-01A-11R-1850-01	TCGA-32-1980-01A-01R-1850-01	TCGA-06-5859-01A-01R-1849-01	TCGA-12-0616-01A-01R-1849-01	TCGA-06-2567-01A-01R-1849-01	TCGA-06-0156-01A-03R-1849-01	TCGA-06-0130-01A-01R-1849-01	TCGA-06-0686-01A-01R-1849-01	TCGA-27-1837-01A-01R-1850-01	TCGA-32-2634-01A-01R-1850-01	TCGA-06-5408-01A-01R-1849-01	TCGA-19-2624-01A-01R-1850-01	TCGA-06-0178-01A-01R-1849-01	TCGA-28-5215-01A-01R-1850-01	TCGA-27-2523-01A-01R-1850-01	TCGA-12-3650-01A-01R-1849-01	TCGA-28-5218-01A-01R-1850-01	TCGA-06-0168-01A-01R-1849-01	TCGA-06-0750-01A-01R-1849-01	TCGA-06-1804-01A-01R-1849-01	TCGA-76-4927-01A-01R-1850-01	TCGA-06-0138-01A-02R-1849-01	TCGA-02-2486-01A-01R-1849-01	TCGA-28-2499-01A-01R-1850-01	TCGA-19-1787-01B-01R-1850-01	TCGA-06-2561-01A-02R-1849-01	TCGA-19-2620-01A-01R-1850-01	TCGA-06-5416-01A-01R-1849-01	TCGA-06-0210-01A-01R-1849-01	TCGA-27-2519-01A-01R-1850-01	TCGA-28-2514-01A-02R-1850-01	TCGA-08-0386-01A-01R-1849-01	TCGA-16-1045-01B-01R-1850-01	TCGA-41-5651-01A-01R-1850-01	TCGA-76-4928-01B-01R-1850-01	TCGA-06-0156-01A-02R-1849-01	TCGA-19-2625-01A-01R-1850-01	TCGA-32-2638-01A-01R-1850-01	TCGA-41-3915-01A-01R-1850-01	TCGA-26-5135-01A-01R-1850-01
HIST1H2BB	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	21	0	0	6	0	0	0	19	0	0	3	0	3	0	13	647	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0
SPRR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB9	80	29	0	14	121	6	1	59	1	1	12	1	1	84	107	20	4	4	11	18	8	5	12	32	24	60	24	17	4	0	14	67	2	1	14	0	19	0	5	1	20	1877	0	2	9	17	14	14	28	22	60	22	0	0	242	19	4	30	67	6	10	9	26	29	0	0	0	4	122	169	14	25	0	3	9	2	171	5	2	5	1	35	26	81	2	218	0	36	44	5	7	23	14	90	12	58	83	23	1	9	1	9	0	8	0	8	7	0	8	10	2	35	34	5	0	4	24	2	22	1	0	25	0	8	10	9	7	21	0	5	8	5	1793	2	2	12	33	111	21	34	19	1	4	0	714	4	0	16	3	5	6	18	8	19	5	4
CSMD3	6	13	2	12	0	30	217	1	17	3	7	15	10	5	133	348	35	95	2	18	25	131	27	4	222	3	13	182	0	19	7	679	9	37	22	11	18	894	18	717	8	249	5	375	499	13	42	73	29	0	7	20	319	104	14	30	504	16	28	190	2	90	12	15	79	204	31	211	108	5	0	2	13	17	15	1021	9	48	412	8	69	245	23	18	173	0	377	16	66	34	41	826	149	2	7	2	25	193	37	34	21	15	45	8	1126	542	333	75	43	14	858	72	115	34	23	18	190	255	414	226	14	131	8	183	28	70	78	169	306	852	251	135	89	57	109	32	170	96	22	15	26	119	66	392	16	416	149	70	42	828	18	145	4	14	35	413
TNMD	2	4	7	16	0	2	2	6	0	9	17	6	0	69	3	7	15	14	100	0	94	0	7	0	2	5	3	3731	18	8	8	2	6	2	86	4	7	5	6	3	0	1900	3	16	0	17	27	0	0	10	0	1	39	3	919	4	1	13	80	11	1	3	4	131	62	0	10	2	0	66	13	15	85	16	5	4	35	23	81	0	9	1	2	0	3	19	2	0	2	13	0	1	1	115	20	0	1	1	0	7	3	10	10	247	0	1	0	8	1	2	1	7	21	4	1	4	8	1	74	2	4	1	2	0	0	2	7	4	5	11	3	9	4779	1	75	1	0	28	8	7	208	0	0	1	0	11	3	7	8	4	4	5	12	22	0	7
TREM1	159	917	622	463	2902	197	384	70	225	228	921	400	15	3003	68	357	109	495	7149	108	353	36	97	2537	283	1987	90	74	217	36	174	20	74	327	361	485	436	587	80	18	196	27	667	12	346	1167	217	474	965	12	742	111	9	100	2713	1920	389	1951	106	270	576	25	1998	800	833	202	47	197	285	1306	597	1074	334	219	285	106	114	466	1953	2649	20	185	1957	266	574	44	127	2545	320	189	56	170	194	285	176	2190	1559	419	243	151	126	240	112	894	17	104	336	32	2788	383	117	991	363	59	66	133	5	132	100	78	549	2715	165	146	31	74	291	81	399	306	242	167	536	1838	1121	80	409	589	5018	286	94	214	417	156	1678	804	88	195	807	369	1300	1786	661	430	966	406
DKFZp434J0226	0	0	0	0	1	0	0	1	1	3	0	1	0	1	2	0	62	3	2	0	5	7	1	1	2	0	0	0	1	0	1	5	4	2	0	0	2	95	0	127	5	3	0	0	1	1	1	3	0	1	0	0	1	26	0	2	50	0	0	0	0	9	0	0	24	6	4	0	8	0	4	5	0	1	0	0	37	0	0	0	0	8	1	0	3	0	18	4	1	1	4	5	37	1	5	0	1	8	1	8	0	0	5	1	9	3	0	1	4	0	0	0	0	1	0	0	3	8	0	1	0	0	0	4	4	1	0	4	28	0	0	2	40	0	2	1	0	0	2	1	5	3	6	7	3	0	2	0	0	0	0	0	8	0	0	4
CLC	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	5	0	1	0	0	0	0	13	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	30	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	405	2	9	0	0	0	1	0	0	0	0	2	0	0	14	1	0	0	0	0	0	0	23	0	0	0	0	0	18	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
RMRP	63	302	45	26	97	12	210	31	199	85	45	85	154	426	66	413	247	58	72	185	22	106	55	88	44	192	51	2496	67	422	52	225	396	20	206	288	111	65	53	9	109	270	198	109	14	1892	23	2557	47	191	167	36	98	46	41	130	155	414	46	34	16351	1290	634	1494	81	114	75	3207	132	381	770	158	557	152	1455	54262	144	249	9	121	118	118	26	23	18	223	9	780	24	17	14	115	96	60	62	235	24	5287	291	19	126	95	46	345	45	62	1197	91	43	11	68	47	63	129	138	25	23	26	49	952	73	73	33	72	117	227	39	132	848	26	42	90	70	63	540	16	118	480	297	142	123	358	49	275	92	93	257	39	119	63	35	40	73	102	2908	148
IL24	0	1	6	0	25	0	0	0	6	2	5	0	11	82	2	2	0	1	9	2	2	1	1	70	1	43	0	0	0	0	2	1	0	1	0	0	20	2	1	0	0	0	0	0	0	5	0	0	24	1	4	0	0	0	429	4	6	0	2	0	21	0	3	0	0	0	1	7	0	0	6	0	0	4	3	2	0	0	1	3	0	2	70	0	10	1	0	291	0	1	0	0	6	0	0	17	4	0	0	0	1	0	2	0	0	1	0	0	2	2	0	0	1	0	5	1	0	0	1	0	4	21	0	3	3	0	1	0	0	1	2	0	40	0	0	0	0	1	0	0	1	0	0	0	0	5	0	1	44	0	0	14	0	1	0	3
C8orf22	138	0	131	24	0	12	398	1	170	0	25	6	7	1	5	20	0	26	2	35	10	0	69	1	75	6	0	0	25	2	7	0	2	0	6	55	39	1	0	0	17	0	2	0	19	0	1	420	1	1	0	0	0	0	1	12	81	2	11	20	23	51	2	137	0	4	0	2954	0	11	26	18	0	4	0	202	627	72	338	0	0	15	3	4	1	0	1	0	27	1	31	54	6	0	330	0	0	243	0	10	0	52	0	0	0	49	0	1	0	4	187	9	4	0	0	2	0	5	11	0	2	290	0	2	2	58	16	1	1	21	5	6	0	39	11	36	1	69	0	8	24	0	13	71	50	5	0	183	0	203	5	193	798	3	9	14
TRIM67	20	21	4	20	7	43	839	10	8	5	36	1103	17	9	59	601	34	72	3	89	28	530	7	20	506	4	128	32	12	86	15	50	30	17	40	23	63	193	20	193	19	44	25	129	906	4	38	19	6	49	3	8	172	88	9	32	493	18	17	162	37	60	2	87	92	381	105	474	56	8	4	9	89	2	21	914	117	315	124	66	105	457	17	71	47	142	288	3	638	15	142	795	39	25	62	10	14	1684	95	19	349	8	18	4	129	1231	395	116	42	13	833	189	35	16	22	108	56	52	123	213	8	339	4	886	195	105	180	411	135	516	9	108	17	55	24	19	65	141	5	21	22	63	35	527	9	249	478	261	49	2589	47	363	6	13	38	879
MMP8	0	0	48	0	12	0	4	0	0	1	42	1	0	1	0	8	0	4	53	0	6	0	0	9	16	16	2	0	0	0	0	1	0	2	0	0	5	40	0	0	0	3	81	0	0	0	1	27	2	0	37	8	1	5	35	35	64	1	0	33	0	0	3	3	0	4	0	2	3	17	0	29	4	0	3	3	0	1	68	36	0	1	70	12	3	0	1	190	31	5	1	2	2	0	1	3	6	6	143	0	0	2	5	2	0	9	2	0	214	0	0	2	62	0	0	6	0	3	0	0	172	27	16	2	0	0	1	0	65	3	0	2	26	5	47	10	2	4	1	2	0	1	0	0	17	1	0	15	32	1	15	16	6	1	20	34
CCL13	0	0	8	0	0	0	0	0	0	0	7	0	0	1	0	0	0	4	10	0	0	0	2	5	0	111	0	15	0	1	0	0	0	1	1	0	1	0	2	0	0	0	50	0	0	0	0	0	19	0	603	0	1	0	119	41	0	43	0	1	59	0	17	2	0	2	0	0	22	64	2	9	0	0	0	0	0	0	2	9	0	0	57	3	3	2	0	1006	0	1	0	0	3	3	0	9	0	0	5	2	1	0	0	0	0	0	446	0	8	0	0	0	32	0	0	0	0	2	0	3	4	264	83	0	0	0	3	0	0	1	0	0	14	53	65	0	18	4	4	0	0	0	0	0	13	119	0	0	13	0	16	535	0	0	0	0
